%time,field.data
1610116161584620310,-2333
1610116161625289757,-2333
1610116161664620196,-2333
1610116161704744464,-2333
1610116161744710098,-2333
1610116161784692123,-2333
1610116161824914744,-2333
1610116161864688494,-2333
1610116161904621484,-2333
1610116161944770485,-2333
1610116161984687687,-2333
1610116162024606011,-2333
1610116162064644469,-2333
1610116162104597370,-2333
1610116162145160021,-2333
1610116162184678792,-2333
1610116162225258063,-2333
1610116162264728715,-2333
1610116162304894760,-2333
1610116162344683519,-2333
1610116162384746969,-2333
1610116162424808700,-2333
1610116162464652026,-2333
1610116162504939642,-2333
1610116162544757193,-2333
1610116162584694982,-2333
1610116162625725068,-2333
1610116162664666866,-2333
1610116162704947186,-2333
1610116162744672391,-2333
1610116162784739198,-2333
1610116162824679429,-2333
1610116162864710946,-2333
1610116162904852562,-2333
1610116162944658359,-2333
1610116162984672833,-2333
1610116163024643545,-2333
1610116163064661967,-2333
1610116163104653334,-2333
1610116163144670510,-2333
1610116163184929798,-2333
1610116163225614201,-2333
1610116163264683154,-2333
1610116163304633777,-2333
1610116163344794782,-2333
1610116163385006279,-2333
1610116163424666928,-2333
1610116163465083265,-2333
1610116163504681045,-2333
1610116163544750564,-2333
1610116163584622971,-2333
1610116163624774805,-2333
1610116163664748925,-2333
1610116163705267019,-2333
1610116163744667304,-2333
1610116163784829426,-2333
1610116163824698882,-2333
1610116163865174781,-2333
1610116163904785262,-2333
1610116163944944968,-2333
1610116163984840640,-2333
1610116164025469011,-2333
1610116164064727394,-2333
1610116164104597395,-2333
1610116164144620639,-2333
1610116164184671734,-2333
1610116164225008780,-2333
1610116164264758452,-2333
1610116164304737477,-2333
1610116164344932631,-2333
1610116164384680237,-2333
1610116164424939426,-2333
1610116164464808631,-2333
1610116164504652957,-2333
1610116164544700989,-2333
1610116164584671587,-2333
1610116164624729713,-2333
1610116164664849061,-2333
1610116164704702143,-2333
1610116164744690914,-2333
1610116164784672378,-2333
1610116164824669435,-2333
1610116164864645549,-2333
1610116164904589659,-2333
1610116164944814564,-2333
1610116164984677578,-2333
1610116165024596000,-2333
1610116165064815096,-2333
1610116165104647892,-2333
1610116165144766690,-2333
1610116165184705820,-2333
1610116165224683639,-2333
1610116165264679749,-2333
1610116165305063841,-2333
1610116165344709627,-2333
1610116165384802831,-2333
1610116165424673836,-2333
1610116165464956810,-2333
1610116165504655311,-2333
1610116165545106516,-2333
1610116165584665085,-2333
1610116165625356317,-2333
1610116165665323126,-2333
1610116165705083460,-2333
1610116165744863020,-2333
1610116165784707152,-2333
1610116165824641528,-2333
1610116165864626038,-2333
1610116165905068205,-2333
1610116165944715847,-2333
1610116165984789326,-2333
1610116166024680925,-2333
1610116166064669194,-2333
1610116166105134341,-2333
1610116166144639236,-2333
1610116166184683754,-2333
1610116166224688698,-2333
1610116166264710637,-2333
1610116166305031001,-2333
1610116166344763592,-2333
1610116166384665110,-2333
1610116166424708768,-2333
1610116166464666973,-2333
1610116166504683276,-2333
1610116166544691429,-2333
1610116166584740581,-2333
1610116166624694633,-2333
1610116166664706073,-2333
1610116166704797898,-2333
1610116166745523569,-2333
1610116166784657097,-2333
1610116166824651852,-2333
1610116166864732725,-2333
1610116166904789814,-2333
1610116166944678588,-2333
1610116166985246083,-2333
1610116167024640102,-2333
1610116167064696876,-2333
1610116167104630586,-2333
1610116167144989445,-2333
1610116167184649146,-2333
1610116167225265681,-2333
1610116167264666823,-2333
1610116167304691482,-2333
1610116167344655700,-2333
1610116167385357609,-2333
1610116167424723786,-2333
1610116167464778174,-2333
1610116167504702970,-2333
1610116167545000677,-2333
1610116167584728373,-2333
1610116167626231763,-2333
1610116167664759125,-2333
1610116167705490387,-2333
1610116167744730855,-2333
1610116167784793858,-2333
1610116167824612011,-2333
1610116167864718810,-2333
1610116167905088982,-2333
1610116167944666935,-2333
1610116167984702526,-2333
1610116168025002223,-2333
1610116168064675310,-2333
1610116168104714795,-2333
1610116168144789935,-2333
1610116168184739257,-2333
1610116168224678021,-2333
1610116168264733982,-2333
1610116168304640398,-2333
1610116168345658119,-2333
1610116168384673974,-2333
1610116168424671034,-2333
1610116168464742329,-2333
1610116168505161596,-2333
1610116168544661351,-2333
1610116168584626239,-2333
1610116168624617481,-2333
1610116168664730216,-2333
1610116168704696620,-2333
1610116168744650747,-2333
1610116168784768642,-2333
1610116168825284331,-2333
1610116168864641260,-2333
1610116168904624935,-2333
1610116168944656565,-2333
1610116168984743094,-2333
1610116169024658462,-2333
1610116169064683766,-2333
1610116169104653501,-2333
1610116169144784990,-2333
1610116169184697450,-2333
1610116169224625880,-2333
1610116169264852131,-2333
1610116169304685834,-2333
1610116169344654745,-2333
1610116169384735321,-2333
1610116169424807704,-2333
1610116169464823161,-2333
1610116169504632498,-2333
1610116169544712579,-2333
1610116169584726928,-2333
1610116169624847700,-2333
1610116169664700136,-2333
1610116169704928016,-2333
1610116169744691800,-2333
1610116169784709494,-2333
1610116169825042844,-2333
1610116169864712211,-2333
1610116169904711942,-2333
1610116169945219118,-2333
1610116169984694756,-2333
1610116170024673058,-2333
1610116170064732131,-2333
1610116170104631085,-2333
1610116170144693223,-2333
1610116170184720214,-2333
1610116170224758313,-2333
1610116170264719619,-2333
1610116170305054203,-2333
1610116170344739663,-2333
1610116170384663738,-2333
1610116170424907534,-2333
1610116170464721148,-2333
1610116170504905310,-2333
1610116170544885596,-2333
1610116170585404642,-2333
1610116170624966346,-2333
1610116170664684313,-2333
1610116170704767405,-2333
1610116170744717030,-2333
1610116170784651644,-2333
1610116170824963966,-2333
1610116170864743444,-2333
1610116170904651724,-2333
1610116170944659235,-2333
1610116170984683167,-2333
1610116171024712961,-2333
1610116171064643511,-2333
1610116171104682440,-2333
1610116171144606895,-2333
1610116171188247664,-2333
1610116171224659736,-2333
1610116171264643783,-2333
1610116171305002735,-2333
1610116171344664366,-2333
1610116171384736998,-2333
1610116171425522291,-2333
1610116171464736448,-2333
1610116171504776426,-2333
1610116171544695386,-2333
1610116171584613808,-2333
1610116171625244527,-2333
1610116171664707726,-2333
1610116171704697862,-2333
1610116171744622413,-2333
1610116171784953343,-2333
1610116171824728146,-2333
1610116171865134303,-2333
1610116171904663253,-2333
1610116171945124928,-2333
1610116171984880919,-2333
1610116172024733050,-2333
1610116172064696945,-2333
1610116172104671317,-2333
1610116172144644618,-2333
1610116172184777222,-2333
1610116172224710703,-2333
1610116172264707631,-2333
1610116172304723592,-2333
1610116172344715283,-2333
1610116172384834253,-2333
1610116172424707070,-2333
1610116172464801870,-1
1610116172504740128,-1
1610116172544648484,-1
1610116172584826295,-1
1610116172624750798,-1
1610116172664693754,-1
1610116172704782639,-1
1610116172744657650,-1
1610116172784630954,-1
1610116172825417206,-1
1610116172864675230,-1
1610116172904699476,-1
1610116172944638177,-1
1610116172984681175,-1
1610116173024681665,-1
1610116173064732318,-1
1610116173104721900,-1
1610116173145971134,-1
1610116173184756101,-1
1610116173224706287,-1
1610116173264735111,-1
1610116173305253752,-1
1610116173344682170,-1
1610116173384651976,-1
1610116173424680257,-1
1610116173465300369,-1
1610116173504704383,-1
1610116173544716401,-1
1610116173584663490,-1
1610116173624784474,-1
1610116173664993779,-1
1610116173704650444,-1
1610116173744715232,-1
1610116173784715860,-1
1610116173824686421,-1
1610116173865235987,-1
1610116173904807756,-1
1610116173944680683,-1
1610116173984671354,-1
1610116174024664808,-1
1610116174064651285,-1
1610116174105406924,-1
1610116174144612919,-1
1610116174184692434,-1
1610116174224650457,-1
1610116174264697070,-1
1610116174304998142,-1
1610116174344637741,-1
1610116174385228151,-1
1610116174425324392,-1
1610116174464689394,-1
1610116174504846108,-1
1610116174544707581,-1
1610116174584751678,-1
1610116174625422491,-1
1610116174664716842,-1
1610116174704783340,-1
1610116174745586278,-1
1610116174784655462,-1
1610116174824851112,-1
1610116174864719578,-1
1610116174904784498,-1
1610116174944715472,-1
1610116174984752568,-1
1610116175024658132,-1
1610116175065707357,-1
1610116175104645400,-1
1610116175144672020,-1
1610116175184689678,-1
1610116175225201848,-1
1610116175264650927,-1
1610116175304742404,-1
1610116175344758508,-1
1610116175384840014,-1
1610116175424697544,-1
1610116175464892707,-1
1610116175504767363,-1
1610116175544706874,-1
1610116175584696331,-1
1610116175624677491,-1
1610116175664696290,-1
1610116175705264758,-1
1610116175744699890,-1
1610116175784660357,-1
1610116175824687190,-1
1610116175864674486,-1
1610116175904996111,-1
1610116175945101783,-1
1610116175984754908,-1
1610116176024666164,-1
1610116176064757373,-1
1610116176104659923,-1
1610116176144950662,-1
1610116176184707695,-1
1610116176224660524,-1
1610116176264818590,-1
1610116176304814885,-1
1610116176345150240,-1
1610116176384658922,-1
1610116176424632860,-1
1610116176464738982,-1
1610116176505303865,-1
1610116176544674144,-1
1610116176584675628,-1
1610116176624662457,-1
1610116176665269428,-1
1610116176704714058,-1
1610116176745329197,-1
1610116176784728857,-1
1610116176824914466,-1
1610116176864669791,-1
1610116176904650210,-1
1610116176944757997,-1
1610116176985073766,-1
1610116177024699002,-1
1610116177065145391,-1
1610116177104785441,-1
1610116177144725738,-1
1610116177184691306,-1
1610116177224745944,-1
1610116177264925043,-1
1610116177304637917,-1
1610116177344684046,-1
1610116177384715286,-1
1610116177424828645,-1
1610116177464623469,-1
1610116177504619206,-1
1610116177544682681,-1
1610116177584767674,-1
1610116177625527984,-1
1610116177664703372,-1
1610116177704989105,-1
1610116177744785761,-1
1610116177784696573,-1
1610116177824693718,-1
1610116177864688218,-1
1610116177904688222,-1
1610116177944757178,-1
1610116177984695091,-1
1610116178024706356,-1
1610116178064789348,-1
1610116178104787391,-1
1610116178144651541,-1
1610116178184656682,-1
1610116178224673008,-1
1610116178265483412,-1
1610116178304685864,-1
1610116178344660491,-1
1610116178384719822,-1
1610116178425676725,-1
1610116178464699456,-1
1610116178504734700,-1
1610116178544752444,-1
1610116178584708393,-1
1610116178625256852,-1
1610116178665158112,-1
1610116178704659661,-1
1610116178745590332,-1
1610116178784652770,-1
1610116178825100419,-1
1610116178864737707,-1
1610116178905337092,-1
1610116178944694416,-1
1610116178984731031,-1
1610116179024866394,-1
1610116179064690402,-1
1610116179105047535,-1
1610116179144658388,-1
1610116179184681996,-1
1610116179225052522,-1
1610116179264677451,-1
1610116179304960502,-1
1610116179344660061,-1
1610116179384763707,-1
1610116179424704617,-1
1610116179464660051,-1
1610116179504769433,-1
1610116179545267567,-1
1610116179584643736,-1
1610116179624669019,-1
1610116179664698846,-1
1610116179705131291,-1
1610116179744655262,-1
1610116179784940550,-1
1610116179824672673,-1
1610116179864637569,-1
1610116179904611702,-1
1610116179945101648,-1
1610116179984645383,-1
1610116180024716658,-1
1610116180064667671,-1
1610116180105005953,-1
1610116180144675251,-1
1610116180184718961,-1
1610116180224695954,-1
1610116180264664352,-1
1610116180304861468,-1
1610116180345345738,-1
1610116180384699323,-1
1610116180424680454,1111
1610116180464854964,1111
1610116180504786475,1111
1610116180544758434,1111
1610116180584975282,1111
1610116180624761774,1111
1610116180664711206,1111
1610116180704876261,1111
1610116180744714315,1111
1610116180784653694,1111
1610116180824710654,1111
1610116180864679748,1111
1610116180904760867,1111
1610116180944712391,1111
1610116180984660945,1111
1610116181025311357,1111
1610116181064685906,1111
1610116181104743055,1111
1610116181145102191,1111
1610116181184738040,1111
1610116181224680521,1111
1610116181264654527,1111
1610116181304837151,1111
1610116181344715405,1111
1610116181384660969,1111
1610116181424695896,1111
1610116181464935395,1111
1610116181504699221,1111
1610116181544642487,1111
1610116181584893585,1111
1610116181624712843,1111
1610116181665010475,1111
1610116181704715629,1111
1610116181744883188,1111
1610116181785349983,1111
1610116181824718070,1111
1610116181864762295,1111
1610116181904697972,1111
1610116181944807697,1111
1610116181985082839,1111
1610116182024691185,1111
1610116182064799034,1111
1610116182105121345,1111
1610116182144670099,1111
1610116182184627999,1111
1610116182224837453,1111
1610116182264897594,1111
